name,time/op (ns/op),±
Filter/1_workers-12,3.12280E+08,5%
Filter/2_workers-12,1.83249E+08,3%
Filter/4_workers-12,1.31559E+08,7%
Filter/8_workers-12,9.98734E+07,3%
Filter/16_workers-12,8.93831E+07,4%
